3.4,0.35,1
0.7,0.2,1
3.55,2.5,0
3.1,0.35,1
0.7,1.3,1
3.2,1.4,0
2.15,1.85,1
0.2,2.4,0
1.9,3.15,0
0.25,2.5,0
2.5,0.65,0
0.8,1.15,1
1.15,1.65,0
3.15,1.85,0
3.45,1.2,1
1.9,1.25,0
2.3,3.55,0
3.15,1.2,1
0.9,2.25,0
0.85,3.5,1
2.6,1.8,1
3.15,3.7,1
2.5,1.45,1
1.15,3.4,1
0.3,3.8,1
1.3,1.1,1
0,3.85,1
1.45,0.6,0
0,0.15,1
2.3,2.55,1
0.25,3.05,1
3.4,2.1,0
4,1.5,0
1.9,0.45,0
3.8,1.85,0
3.95,0.4,1
2.85,0.55,1
3.85,2,0
1.15,0.9,1
2.8,3.5,1
2.8,2.65,0
2.2,3,0
3.25,3.05,1
0.45,1.6,0
2.1,0.9,0
0.7,2.6,0
0.85,2.55,0
2.7,1.15,1
2.85,0.3,1
3.55,1.05,1
3.35,3.9,1
2.95,3.05,1
3.7,2.95,1
3.3,0.25,1
2.2,2.65,1
3.35,2.15,0
1.8,2.75,0
2,2.6,1
2.55,3.1,0
0.4,3.35,1
3.65,1.8,0
3.95,2.2,0
3,1,1
0,2.85,1
1.1,0.85,1
3.4,1.75,0
1.5,0.25,0
1.4,3.1,0
1.35,1.9,1
0.2,3.6,1
2.7,3.2,1
2.05,0.45,0
2.35,1.35,1
1.9,0.6,0
1.05,2.4,0
1.55,2.9,0
3.55,0,1
2.55,0.35,0
0.3,2.55,0
3.95,3.5,1
3.65,0.15,1
3.7,1.15,1
2.4,3.45,0
1.4,2.7,0
1.55,3.65,0
1.15,3.75,1
2.1,3.35,0
3.9,3.3,1
3.35,1.7,0
3.5,3.25,1
2.45,2.05,1
1.9,2.5,1
1.1,3.15,1
3.45,3.05,1
3.6,3.3,1
3,3.95,1
2.2,1.85,1
1.35,1.4,1
2,2.35,1
0.4,2.9,1
3.05,2.2,0
3.2,1.7,0
2.8,0.05,1
3.05,3.35,1
1.5,2.45,1
0.25,2.65,0
1,1.25,1
0.8,3.05,1
3.7,1.85,0
1.65,2.85,0
1.85,3.4,0
3.75,3.7,1
1.45,0.9,0
2.15,3,0
1.5,1.35,1
0.95,3.85,1
1,0.9,1
1.3,0.25,1
1.7,3.65,0
1.7,2.4,1
3.9,2,0
2.85,0.25,1
3.8,3.85,1
3.15,2.7,1
2.8,1.65,0
1.1,0.15,1
3.65,2,0
2.9,1.05,1
3,0.15,1
0.9,1.25,1
0.45,0.7,1
1.55,3.55,0
2.8,4,1
2.45,2,1
1.95,1.6,1
0.6,3.15,1
2.55,3.45,0
2.8,1,1
3.95,0,1
0.45,1.85,0
3.35,0.8,1
0.4,0.3,1
2.1,2.05,1
3.95,3.15,1
2.4,1.1,0
3.35,0.15,1
0.05,0.5,1
1.9,0.2,0
3.6,3,1
3.8,1.2,1
1.8,3.2,0
1.35,1.55,1
3.6,2.7,1
0.85,3.6,1
3.85,2.1,0
3,2.5,0
0.75,2.4,0
2.15,0.3,0
1.1,1.35,0
4,3.15,1
3.15,1.25,1
2.6,2.4,1
1.75,1.1,0
0.6,2.25,0
3.3,3.65,1
0.65,1.15,1
2.5,0.6,0
3.2,0.55,1
2.8,3.65,1
0.85,3.7,1
1.2,1.85,0
3.45,3.5,1
0.5,1.4,0
3.2,0.6,1
1.45,2.5,1
1,2.85,1
3.6,1.1,1
0.85,1.15,1
1.85,3.35,0
2.25,3,0
3.55,3.6,1
1,2.9,1
1.05,0.15,1
1.3,3.3,1
2.7,3.5,1
0.6,2.3,0
0.15,2,0
3.2,0.5,1
0,2.95,1
2.2,3.05,0
2.15,3.3,0
3.05,2.6,0
1.3,3.7,1
3.05,3.65,1
1.8,3.6,0
2.65,3.6,0
3.05,1.6,0
1.7,0.8,0
0.4,3.25,1
2.35,2.6,1
2.1,0.7,0
3.65,2.55,0
2.6,1.25,0
1.5,0.8,0
1.5,2.4,1
1.85,3.6,0
3.4,1.5,0
1.05,1.2,1
0.7,0.4,1
0.2,2.85,1
0.15,0,1
2.75,3.85,1
2.25,1.5,1
1.9,1.45,1
0.2,0.15,1
2.35,3.5,0
0.15,3.05,1
2.65,3.55,0
2.25,3.25,0
2.85,0.2,1
3.8,0.8,1
2.7,1.75,0
1.95,3.15,0
2.7,1.1,1
0.1,1.05,1
1.45,2.65,1
2.7,2.6,0
0.75,1.4,0
3,1.05,1
0.15,3.15,1
0.8,3.8,1
2,3.45,0
3.35,1,1
0.2,2.9,1
1.6,1.55,1
2.45,1.8,1
0.35,2,0
0.5,2.65,0
1.45,1.95,1
2,3,0
1.15,2.1,0
2.3,0.85,0
0.6,0.3,1
2.95,3.6,1
0.8,3,1
3.4,0.65,1
2.35,0.85,0
1.1,0.6,1
2.65,2.55,1
3.6,0.5,1
0.6,1.85,0
0.2,0.55,1
1.75,1.2,0
1.25,1.3,1
2.2,3.25,0
3.7,2.75,1
0.9,1.3,1
1.8,1,0
1.55,1.7,1
